rank,word,cefr_level_estimate,part_of_speech,vietnamese_meaning,example,example_vietnamese,ranking_basis,source_urls
13,significant,B2,adjective,đáng kể,There are no significant differences between the two groups of students.,Không có sự khác biệt đáng kể giữa hai nhóm học sinh.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
14,environment,B2,noun,môi trường,Certain chemicals have been banned because of their damaging effect on the environment.,Một số hóa chất đã bị cấm vì tác hại của chúng đối với môi trường.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
15,factor,B2,noun,yếu tố,"People's voting habits are influenced by political, social and economic factors.","Thói quen bầu cử của người dân bị ảnh hưởng bởi các yếu tố chính trị, xã hội và kinh tế.",B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
16,potential,B2,adjective,tiềm năng,They try to attract more potential customers,Họ cố gắng thu hút nhiều khách hàng tiềm năng hơn,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
17,structure,B2,noun,cấu trúc,The teachers have to structure the lessons,Giáo viên phải xây dựng bài học,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
18,procedure,B2,noun,thủ tục,The company has new procedures for openning the bank account,Công ty có thủ tục mới về mở tài khoản ngân hàng,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
19,primary,B2,adjective,chính,The primary goal of the study was to determine the cause of the disease.,Mục tiêu chính của nghiên cứu là xác định nguyên nhân gây bệnh.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
20,theory,B2,noun,lý thuyết,You can find a lot of theories in this book,Bạn có thể tìm thấy rất nhiều lý thuyết trong cuốn sách này,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
21,assessment,B2,noun,đánh giá,We have an assessment at the end of the course.,Chúng tôi có đánh giá vào cuối khóa học.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
22,survey,B2,noun,khảo sát,He is doing the online survey,Anh ấy đang thực hiện cuộc khảo sát trực tuyến,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
23,determine,B2,verb,xác định,The vaccine is tested in order to determine its influence on people's health,Vắc-xin được thử nghiệm để xác định ảnh hưởng của nó đối với sức khỏe con người,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
24,equipment,B2,noun,thiết bị,They have installed state-of-the-art medical equipment to help improve early diagnosis of the condition.,Họ đã lắp đặt các thiết bị y tế hiện đại để giúp cải thiện việc chẩn đoán sớm tình trạng này.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
25,policy,B2,noun,chính sách,The new managers are signing the new policies.,Các nhà quản lý mới đang ký các chính sách mới.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/ngsl-spoken|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
26,classification,B2,noun,phân loại,"In biology class, we learnt about the classification of animals.","Trong giờ sinh học, chúng em đã học về việc phân loại động vật.",B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
27,authority,B2,noun,quyền lực,She's an authority,Cô ấy là người có thẩm quyền,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
28,economic,B2,adjective,kinh tế,He is a businessman and he reads economic news every morning,Anh ấy là một doanh nhân và anh ấy đọc tin tức kinh tế mỗi sáng,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
29,income,B2,noun,thu nhập,My main source of income is from my job.,Nguồn thu nhập chính của tôi là từ công việc của tôi.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
30,market,B2,noun,thị trường,There are many ways for a company to market their products and services on the internet.,Có nhiều cách để một công ty tiếp thị sản phẩm và dịch vụ của họ trên internet.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/ngsl-spoken|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
31,secondary,B2,adjective,thứ cấp,The speaker described the situation as secondary.,Người nói mô tả tình huống này là thứ cấp.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
32,industry,B2,noun,ngành,The city needs to attract more industry.,Thành phố cần thu hút nhiều ngành công nghiệp hơn.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
33,investigation,B2,noun,cuộc điều tra,An investigation has been under way for several days into the disappearance of a 13-year-old boy.,Một cuộc điều tra đã được tiến hành trong nhiều ngày về vụ mất tích của một cậu bé 13 tuổi.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
34,percentage,B2,noun,tỷ lệ phần trăm,A high percentage of the female staff are part-time workers.,Tỷ lệ nhân viên nữ làm việc bán thời gian chiếm tỷ lệ cao.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
35,library,B2,noun,thư viện,She spends hours in the library studying for her exams.,Cô ấy dành hàng giờ trong thư viện để ôn thi.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
36,interpretation,B2,noun,sự diễn giải,"Thanks to his good interpretation skills, he can explain clearly what they said","Nhờ khả năng diễn giải tốt, anh ấy có thể giải thích rõ ràng những gì họ nói",B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
37,adequate,B2,adjective,đầy đủ,Foods must be adequate for all family members,Thực phẩm phải đầy đủ cho mọi thành viên trong gia đình,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
38,individual,B2,adjective,cá nhân,Individual wellbeing is becoming more and more important in this era.,Sức khỏe cá nhân ngày càng trở nên quan trọng hơn trong thời đại này.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/ngsl-spoken|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
39,indicate,B2,verb,chỉ ra,He is indicating the problem of the company to his boss,Anh ấy đang chỉ ra vấn đề của công ty cho sếp của mình,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
40,relevant,B2,adjective,có liên quan,That is a relevant anwser,Đó là một câu trả lời có liên quan,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
41,conference,B2,noun,hội nghị,"A big conference is taking place in this city, and it will go on for 3 days.",Một hội nghị lớn đang diễn ra ở thành phố này và nó sẽ diễn ra trong 3 ngày.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
42,society,B2,noun,xã hội,She believes that the arts benefit society as a whole.,Cô tin rằng nghệ thuật mang lại lợi ích cho toàn xã hội.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
43,financial,B2,adjective,tài chính,She organizes her financial affairs very efficiently.,Cô ấy tổ chức các vấn đề tài chính của mình rất hiệu quả.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
44,employment,B2,noun,việc làm,How long have you been looking for employment?,Bạn đã tìm việc làm được bao lâu rồi?,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
45,concept,B2,noun,khái niệm,the concept that everyone should have equality of opportunity,khái niệm cho rằng mọi người đều có cơ hội bình đẳng,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
46,conclusion,B2,noun,kết luận,Be careful not to introduce new ideas in the conclusion of your essay.,Hãy cẩn thận để không giới thiệu những ý tưởng mới trong phần kết luận của bài luận.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
47,proportion,B2,noun,tỷ lệ,The proportion of men to women at my college was about 4 to 1,Tỷ lệ nam nữ ở trường đại học của tôi là khoảng 4 trên 1,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
48,experiment,B2,noun,thí nghiệm,"In chemistry, we have to do a lot of experiments","Trong hóa học, chúng ta phải làm rất nhiều thí nghiệm",B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
49,context,B2,noun,bối cảnh,Such databases are being used in a wide range of contexts.,Cơ sở dữ liệu như vậy đang được sử dụng trong nhiều bối cảnh.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
50,health,B2,noun,sức khỏe,The lecturer explained why health was important to the topic.,Giảng viên giải thích tại sao sức khỏe lại quan trọng đối với chủ đề này.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/ngsl-spoken|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
51,contract,B2,noun,hợp đồng,You should always check the contract carefully before signing.,Bạn phải luôn kiểm tra hợp đồng cẩn thận trước khi ký.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
52,contrast,B2,noun,sự tương phản,There's a sharp contrast between the brightness of the flower and the dark background.,Có sự tương phản rõ nét giữa độ sáng của bông hoa và nền tối.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
53,maintenance,B2,noun,bảo trì,We're doing some maintenance work on the website today.,Hôm nay chúng tôi đang thực hiện một số công việc bảo trì trên trang web.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
54,faculty,B2,noun,khoa,The faculty of medicine only accepts a small number of students each year.,Khoa y chỉ nhận một số lượng nhỏ sinh viên mỗi năm.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
55,perspective,C1,noun,quan điểm,They are both right from their perspectives,Cả hai đều đúng từ quan điểm của họ,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
56,comprehensive,C1,adjective,toàn diện,Is this list comprehensive or are there some names missing?,Danh sách này có đầy đủ hay còn thiếu một số tên?,C1 quota; CEFR-J/Octanove level + corpus frequency + IELTS Listening relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
57,corporation,B2,noun,tập đoàn,She didn't want to work for a big corporation where everything was so impersonal.,Cô không muốn làm việc cho một tập đoàn lớn nơi mọi thứ đều quá tầm thường.,B2 quota; existing IELTS-curated ranking + corpus frequency/relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
58,correlation,C2,noun,sự tương quan,There is a strong correlation between study habits and academic performance.,Có một mối tương quan chặt chẽ giữa thói quen học tập và kết quả học tập.,C2 quota; Octanove C1/C2 profile + corpus frequency + IELTS Listening relevance,https://github.com/Maximax67/Words-CEFR-Dataset|https://github.com/yenthanh132/avdict-database-sqlite-converter|https://www.newgeneralservicelist.com/new-academic-word-list|https://ielts.idp.com/mauritius/about/news-and-articles/article-ielts-listening-vocabulary-words|https://github.com/openlanguageprofiles/olp-en-cefrj|https://github.com/filiph/english_words
